MONTH	UNIT	TEMP
JAN	166	COLD
FEB	90	COLD
MAR	219	HOT
APR	144	HOT
MAY	251	HOT
JUN	375	HOT
JUL	502	HOT
AUG	468	HOT
SEP	301	HOT
OCT	142	HOT
NOV	142	COLD
DEC	254	COLD
JAN	386	COLD
FEB	210	COLD
MAR	193	HOT
APR	144	HOT
MAY	212	HOT
JUN	446	HOT
JUL	429	HOT
AUG	319	HOT
SEP	338	HOT
OCT	342	HOT
NOV	169	COLD
DEC	140	COLD
JAN	140	COLD
FEB	276	COLD
MAR	284	HOT
APR	270	HOT
MAY	489	HOT
JUN	330	HOT
JUL	330	HOT
AUG	348	HOT
SEP	374	HOT
OCT	309	HOT
NOV	250	COLD
DEC	190	COLD
JAN	273	COLD
FEB	300	COLD
MAR	295	HOT
APR	165	HOT
MAY	284	HOT
JUN	268	HOT
JUL	300	HOT
AUG	392	HOT
SEP	300	HOT
OCT	242	HOT
NOV	373	COLD
DEC	183	COLD
